Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,220,4,9.389062525539341
KatsuuraEvaluation,cross_interval,tune,220,5,9.764219989249096
KatsuuraEvaluation,cross_interval,tune,220,6,8.835403959910511
KatsuuraEvaluation,cross_interval,tune,220,7,9.004087001498847
KatsuuraEvaluation,cross_interval,tune,220,8,9.435522630325236
KatsuuraEvaluation,cross_interval,tune,220,9,9.188303673539938
KatsuuraEvaluation,cross_interval,tune,220,10,9.005869923881901
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,230,1,8.876093190118645
KatsuuraEvaluation,cross_interval,tune,230,2,9.081758844212274
KatsuuraEvaluation,cross_interval,tune,230,3,8.258234201186053
KatsuuraEvaluation,cross_interval,tune,230,4,9.389370346261614
KatsuuraEvaluation,cross_interval,tune,230,5,9.117340391274283
KatsuuraEvaluation,cross_interval,tune,230,6,8.415067630661113
KatsuuraEvaluation,cross_interval,tune,230,7,9.179233736983578
KatsuuraEvaluation,cross_interval,tune,230,8,9.434581045446595
KatsuuraEvaluation,cross_interval,tune,230,9,9.307472291372486
KatsuuraEvaluation,cross_interval,tune,230,10,9.368799148639633
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,240,1,8.55762975321174
KatsuuraEvaluation,cross_interval,tune,240,2,8.691081850381599
KatsuuraEvaluation,cross_interval,tune,240,3,8.73498548835984
KatsuuraEvaluation,cross_interval,tune,240,4,9.3891278433518
KatsuuraEvaluation,cross_interval,tune,240,5,8.730894265755822
KatsuuraEvaluation,cross_interval,tune,240,6,9.091460115364576
KatsuuraEvaluation,cross_interval,tune,240,7,8.941856233604339
KatsuuraEvaluation,cross_interval,tune,240,8,9.434395847456237
KatsuuraEvaluation,cross_interval,tune,240,9,8.805610649728074
KatsuuraEvaluation,cross_interval,tune,240,10,8.715198419920759
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,250,1,8.094077908931165
KatsuuraEvaluation,cross_interval,tune,250,2,9.035250335172014
KatsuuraEvaluation,cross_interval,tune,250,3,7.746026399660918
KatsuuraEvaluation,cross_interval,tune,250,4,9.389098008423632
KatsuuraEvaluation,cross_interval,tune,250,5,9.669432383191955
KatsuuraEvaluation,cross_interval,tune,250,6,8.9655081051918
KatsuuraEvaluation,cross_interval,tune,250,7,9.005641342100027
KatsuuraEvaluation,cross_interval,tune,250,8,9.43421452952155
KatsuuraEvaluation,cross_interval,tune,250,9,9.033243065573123
KatsuuraEvaluation,cross_interval,tune,250,10,9.089008967952296
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
