Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
KatsuuraEvaluation,cross_interval,tune,2760,10,8.995526190141458
KatsuuraEvaluation,cross_interval,tune,2770,10,8.874696700279538
KatsuuraEvaluation,cross_interval,tune,2780,10,8.825575660677437
KatsuuraEvaluation,cross_interval,tune,2790,10,8.9027731668011
KatsuuraEvaluation,cross_interval,tune,2800,10,8.981910196156095
KatsuuraEvaluation,cross_interval,tune,2810,10,9.18357925740526
KatsuuraEvaluation,cross_interval,tune,2820,10,8.888353179964867
KatsuuraEvaluation,cross_interval,tune,2830,10,8.92885877374788
KatsuuraEvaluation,cross_interval,tune,2840,10,8.830884207467868
KatsuuraEvaluation,cross_interval,tune,2850,10,9.048141379730302
KatsuuraEvaluation,cross_interval,tune,2860,10,8.771129216088827
KatsuuraEvaluation,cross_interval,tune,2870,10,9.064478785766934
KatsuuraEvaluation,cross_interval,tune,2880,10,8.910555340467162
KatsuuraEvaluation,cross_interval,tune,2890,10,9.046297913568795
KatsuuraEvaluation,cross_interval,tune,2900,10,8.870091925823946
KatsuuraEvaluation,cross_interval,tune,2910,10,8.771224406820947
KatsuuraEvaluation,cross_interval,tune,2920,10,8.89439794470992
KatsuuraEvaluation,cross_interval,tune,2930,10,8.786661672595601
KatsuuraEvaluation,cross_interval,tune,2940,10,8.853984707766958
KatsuuraEvaluation,cross_interval,tune,2950,10,8.868830519723192
KatsuuraEvaluation,cross_interval,tune,2960,10,8.855375158746552
KatsuuraEvaluation,cross_interval,tune,2970,10,8.876834915595216
KatsuuraEvaluation,cross_interval,tune,2980,10,9.099680555959328
KatsuuraEvaluation,cross_interval,tune,2990,10,9.026597150362766
KatsuuraEvaluation,cross_interval,tune,3000,10,8.771129216088827
KatsuuraEvaluation,cross_interval,tune,3010,10,8.953793197806394
KatsuuraEvaluation,cross_interval,tune,3020,10,8.896025348195488
KatsuuraEvaluation,cross_interval,tune,3030,10,9.005269932958786
KatsuuraEvaluation,cross_interval,tune,3040,10,8.95246033420811
KatsuuraEvaluation,cross_interval,tune,3050,10,8.854913641135356
KatsuuraEvaluation,cross_interval,tune,3060,10,8.801450210911439
KatsuuraEvaluation,cross_interval,tune,3070,10,8.85785509356232
KatsuuraEvaluation,cross_interval,tune,3080,10,8.94620952438056
KatsuuraEvaluation,cross_interval,tune,3090,10,8.847642453596022
KatsuuraEvaluation,cross_interval,tune,3100,10,8.806136844021983
KatsuuraEvaluation,cross_interval,tune,3110,10,8.794509681133777
KatsuuraEvaluation,cross_interval,tune,3120,10,8.900922604027848
KatsuuraEvaluation,cross_interval,tune,3130,10,8.793212524046137
KatsuuraEvaluation,cross_interval,tune,3140,10,8.86708908964212
KatsuuraEvaluation,cross_interval,tune,3150,10,8.85206684929169
KatsuuraEvaluation,cross_interval,tune,3160,10,8.793867102643773
KatsuuraEvaluation,cross_interval,tune,3170,10,8.85462833468558
KatsuuraEvaluation,cross_interval,tune,3180,10,8.837017135978362
KatsuuraEvaluation,cross_interval,tune,3190,10,8.846683480072958
KatsuuraEvaluation,cross_interval,tune,3200,10,8.84769387298773
KatsuuraEvaluation,cross_interval,tune,3210,10,8.985281783203842
KatsuuraEvaluation,cross_interval,tune,3220,10,8.780849525920535
KatsuuraEvaluation,cross_interval,tune,3230,10,8.783256908248012
KatsuuraEvaluation,cross_interval,tune,3240,10,8.945846343570109
KatsuuraEvaluation,cross_interval,tune,3250,10,8.782931775209153
KatsuuraEvaluation,cross_interval,tune,3260,10,8.784202232403839
KatsuuraEvaluation,cross_interval,tune,3270,10,8.783586964653606
KatsuuraEvaluation,cross_interval,tune,3280,10,8.78366684379509
KatsuuraEvaluation,cross_interval,tune,3290,10,8.783712197583798
KatsuuraEvaluation,cross_interval,tune,3300,10,8.94073721197409
KatsuuraEvaluation,cross_interval,tune,3310,10,8.931385117419968
KatsuuraEvaluation,cross_interval,tune,3320,10,8.921757874671083
KatsuuraEvaluation,cross_interval,tune,3330,10,8.827068902780542
KatsuuraEvaluation,cross_interval,tune,3340,10,8.823902241623436
KatsuuraEvaluation,cross_interval,tune,3350,10,8.83576273011961
KatsuuraEvaluation,cross_interval,tune,3360,10,8.839112536713937
KatsuuraEvaluation,cross_interval,tune,3370,10,8.839692791466065
KatsuuraEvaluation,cross_interval,tune,3380,10,8.814223698611004
KatsuuraEvaluation,cross_interval,tune,3390,10,8.829989574067973
KatsuuraEvaluation,cross_interval,tune,3400,10,8.790954913172673
KatsuuraEvaluation,cross_interval,tune,3410,10,8.786379416965556
KatsuuraEvaluation,cross_interval,tune,3420,10,8.786659348275181
KatsuuraEvaluation,cross_interval,tune,3430,10,8.78554732180152
KatsuuraEvaluation,cross_interval,tune,3440,10,8.785363020193184
KatsuuraEvaluation,cross_interval,tune,3450,10,8.808488349737111
KatsuuraEvaluation,cross_interval,tune,3460,10,8.784031666312561
KatsuuraEvaluation,cross_interval,tune,3470,10,8.812415459653472
KatsuuraEvaluation,cross_interval,tune,3480,10,8.911814775250669
KatsuuraEvaluation,cross_interval,tune,3490,10,8.78376912419898
KatsuuraEvaluation,cross_interval,tune,3500,10,8.864527548980746
KatsuuraEvaluation,cross_interval,tune,3510,10,8.851119789358673
KatsuuraEvaluation,cross_interval,tune,3520,10,8.78372854729593
KatsuuraEvaluation,cross_interval,tune,3530,10,8.783722862368105
KatsuuraEvaluation,cross_interval,tune,3540,10,8.783721885025752
KatsuuraEvaluation,cross_interval,tune,3550,10,8.783721452807558
KatsuuraEvaluation,cross_interval,tune,3560,10,8.790371299263903
KatsuuraEvaluation,cross_interval,tune,3570,10,8.790752557086812
KatsuuraEvaluation,cross_interval,tune,3580,10,8.783720892822345
KatsuuraEvaluation,cross_interval,tune,3590,10,8.818026302205205
KatsuuraEvaluation,cross_interval,tune,3600,10,8.930075953327327
KatsuuraEvaluation,cross_interval,tune,3610,10,8.783720857995213
KatsuuraEvaluation,cross_interval,tune,3620,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3630,10,8.808191624097393
KatsuuraEvaluation,cross_interval,tune,3640,10,8.863226496056622
KatsuuraEvaluation,cross_interval,tune,3650,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3660,10,8.842744029353218
KatsuuraEvaluation,cross_interval,tune,3670,10,8.863226495975638
KatsuuraEvaluation,cross_interval,tune,3680,10,8.86286643995172
KatsuuraEvaluation,cross_interval,tune,3690,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3700,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3710,10,8.863226495970299
KatsuuraEvaluation,cross_interval,tune,3720,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3730,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3740,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3750,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3760,10,8.816245232402363
KatsuuraEvaluation,cross_interval,tune,3770,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3780,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3790,10,8.792945124550082
KatsuuraEvaluation,cross_interval,tune,3800,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3810,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3820,10,8.819494177165595
KatsuuraEvaluation,cross_interval,tune,3830,10,8.886724986950279
KatsuuraEvaluation,cross_interval,tune,3840,10,8.877788326327579
KatsuuraEvaluation,cross_interval,tune,3850,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3860,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3870,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3880,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3890,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3900,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3910,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3920,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3930,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3940,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3950,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3960,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3970,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3980,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,3990,10,8.783720852499593
KatsuuraEvaluation,cross_interval,tune,4000,10,8.783720852499593
