Function,Parameter name,Parameter type,Parameter tune value,Amount seeds,Mean score
SchaffersEvaluation,migration_interval,tune,252,50,9.99580263105775
SchaffersEvaluation,migration_interval,tune,253,50,9.99556931054467
SchaffersEvaluation,migration_interval,tune,254,50,9.995295505723739
SchaffersEvaluation,migration_interval,tune,255,50,9.996119574077335
SchaffersEvaluation,migration_interval,tune,256,50,9.995621131575398
SchaffersEvaluation,migration_interval,tune,257,50,9.995292968907412
SchaffersEvaluation,migration_interval,tune,258,50,9.995219202148869
SchaffersEvaluation,migration_interval,tune,259,50,9.9944059922546
SchaffersEvaluation,migration_interval,tune,260,50,9.995298407193143
SchaffersEvaluation,migration_interval,tune,261,50,9.99507435064306
SchaffersEvaluation,migration_interval,tune,262,50,9.994306743862676
SchaffersEvaluation,migration_interval,tune,263,50,9.99523761333255
SchaffersEvaluation,migration_interval,tune,264,50,9.995259190246127
SchaffersEvaluation,migration_interval,tune,265,50,9.995264065722015
SchaffersEvaluation,migration_interval,tune,266,50,9.994740638440499
SchaffersEvaluation,migration_interval,tune,267,50,9.995033382598672
SchaffersEvaluation,migration_interval,tune,268,50,9.993926215512118
SchaffersEvaluation,migration_interval,tune,269,50,9.993938632156716
SchaffersEvaluation,migration_interval,tune,270,50,9.995046979669807
SchaffersEvaluation,migration_interval,tune,271,50,9.993608410873506
SchaffersEvaluation,migration_interval,tune,272,50,9.995221927582971
SchaffersEvaluation,migration_interval,tune,273,50,9.994967552113126
SchaffersEvaluation,migration_interval,tune,274,50,9.993928249564073
SchaffersEvaluation,migration_interval,tune,275,50,9.993905057084499
SchaffersEvaluation,migration_interval,tune,276,50,9.99460149015775
SchaffersEvaluation,migration_interval,tune,277,50,9.993640027605123
SchaffersEvaluation,migration_interval,tune,278,50,9.995284608255535
SchaffersEvaluation,migration_interval,tune,279,50,9.995180225125866
SchaffersEvaluation,migration_interval,tune,280,50,9.995086666647577
SchaffersEvaluation,migration_interval,tune,281,50,9.995214276662669
SchaffersEvaluation,migration_interval,tune,282,50,9.995272287351463
SchaffersEvaluation,migration_interval,tune,283,50,9.995276321502303
SchaffersEvaluation,migration_interval,tune,284,50,9.994998135570134
SchaffersEvaluation,migration_interval,tune,285,50,9.994939412592766
SchaffersEvaluation,migration_interval,tune,286,50,9.995189438117585
SchaffersEvaluation,migration_interval,tune,287,50,9.995030479444942
SchaffersEvaluation,migration_interval,tune,288,50,9.994968477545735
SchaffersEvaluation,migration_interval,tune,289,50,9.995175869960365
SchaffersEvaluation,migration_interval,tune,290,50,9.995122032505998
SchaffersEvaluation,migration_interval,tune,291,50,9.995062389690625
SchaffersEvaluation,migration_interval,tune,292,50,9.995116529743818
SchaffersEvaluation,migration_interval,tune,293,50,9.994922782653582
SchaffersEvaluation,migration_interval,tune,294,50,9.99506231338515
SchaffersEvaluation,migration_interval,tune,295,50,9.994997282354893
SchaffersEvaluation,migration_interval,tune,296,50,9.99499047932521
SchaffersEvaluation,migration_interval,tune,297,50,9.994967838185794
SchaffersEvaluation,migration_interval,tune,298,50,9.995030294394363
SchaffersEvaluation,migration_interval,tune,299,50,9.995035656714503
SchaffersEvaluation,migration_interval,tune,300,50,9.994986976295754
SchaffersEvaluation,migration_interval,tune,301,50,9.994987148142105
SchaffersEvaluation,migration_interval,tune,302,50,9.995038536619884
SchaffersEvaluation,migration_interval,tune,303,50,9.99499071892675
SchaffersEvaluation,migration_interval,tune,304,50,9.995014066642037
SchaffersEvaluation,migration_interval,tune,305,50,9.994954964297863
SchaffersEvaluation,migration_interval,tune,306,50,9.994980441690705
SchaffersEvaluation,migration_interval,tune,307,50,9.995054290203264
SchaffersEvaluation,migration_interval,tune,308,50,9.994976552357402
SchaffersEvaluation,migration_interval,tune,309,50,9.99495553530736
SchaffersEvaluation,migration_interval,tune,310,50,9.99504056090874
SchaffersEvaluation,migration_interval,tune,311,50,9.994965347794759
SchaffersEvaluation,migration_interval,tune,312,50,9.994943387826345
SchaffersEvaluation,migration_interval,tune,313,50,9.995898101383185
SchaffersEvaluation,migration_interval,tune,314,50,9.995892385582962
SchaffersEvaluation,migration_interval,tune,315,50,9.9959061838838
SchaffersEvaluation,migration_interval,tune,316,50,9.995958500124704
SchaffersEvaluation,migration_interval,tune,317,50,9.995921756378385
SchaffersEvaluation,migration_interval,tune,318,50,9.99590436909449
SchaffersEvaluation,migration_interval,tune,319,50,9.99589326945896
SchaffersEvaluation,migration_interval,tune,320,50,9.995767020902745
SchaffersEvaluation,migration_interval,tune,321,50,9.995908254674047
SchaffersEvaluation,migration_interval,tune,322,50,9.995766372267203
SchaffersEvaluation,migration_interval,tune,323,50,9.995815902878423
SchaffersEvaluation,migration_interval,tune,324,50,9.995841724586278
SchaffersEvaluation,migration_interval,tune,325,50,9.9958855308706
SchaffersEvaluation,migration_interval,tune,326,50,9.995885099301539
SchaffersEvaluation,migration_interval,tune,327,50,9.995900841437962
SchaffersEvaluation,migration_interval,tune,328,50,9.995842345424002
SchaffersEvaluation,migration_interval,tune,329,50,9.995845095038904
SchaffersEvaluation,migration_interval,tune,330,50,9.995820343787097
SchaffersEvaluation,migration_interval,tune,331,50,9.995858203612972
SchaffersEvaluation,migration_interval,tune,332,50,9.995781344965355
SchaffersEvaluation,migration_interval,tune,333,50,9.995712365201722
SchaffersEvaluation,migration_interval,tune,334,50,9.99581570712956
SchaffersEvaluation,migration_interval,tune,335,50,9.995762355352133
SchaffersEvaluation,migration_interval,tune,336,50,9.995774296458857
SchaffersEvaluation,migration_interval,tune,337,50,9.995761898765231
SchaffersEvaluation,migration_interval,tune,338,50,9.995718446429985
SchaffersEvaluation,migration_interval,tune,339,50,9.995702203816979
SchaffersEvaluation,migration_interval,tune,340,50,9.995717323508714
SchaffersEvaluation,migration_interval,tune,341,50,9.995709391585736
SchaffersEvaluation,migration_interval,tune,342,50,9.995739586905238
SchaffersEvaluation,migration_interval,tune,343,50,9.995741009901256
SchaffersEvaluation,migration_interval,tune,344,50,9.995747603755795
SchaffersEvaluation,migration_interval,tune,345,50,9.99578292181564
SchaffersEvaluation,migration_interval,tune,346,50,9.995776145803276
SchaffersEvaluation,migration_interval,tune,347,50,9.995751093496299
SchaffersEvaluation,migration_interval,tune,348,50,9.995768466798474
SchaffersEvaluation,migration_interval,tune,349,50,9.995700103777411
SchaffersEvaluation,migration_interval,tune,350,50,9.995800849963222
SchaffersEvaluation,migration_interval,tune,351,50,9.995667921844438
SchaffersEvaluation,migration_interval,tune,352,50,9.995788440216273
SchaffersEvaluation,migration_interval,tune,353,50,9.995723298354921
SchaffersEvaluation,migration_interval,tune,354,50,9.99573839640687
SchaffersEvaluation,migration_interval,tune,355,50,9.995724176209524
SchaffersEvaluation,migration_interval,tune,356,50,9.995698428686781
SchaffersEvaluation,migration_interval,tune,357,50,9.995716891351849
SchaffersEvaluation,migration_interval,tune,358,50,9.99568497731559
SchaffersEvaluation,migration_interval,tune,359,50,9.995749745484282
SchaffersEvaluation,migration_interval,tune,360,50,9.995720876681101
SchaffersEvaluation,migration_interval,tune,361,50,9.995718925632325
SchaffersEvaluation,migration_interval,tune,362,50,9.995715616045834
SchaffersEvaluation,migration_interval,tune,363,50,9.995739550175454
SchaffersEvaluation,migration_interval,tune,364,50,9.99574821407761
SchaffersEvaluation,migration_interval,tune,365,50,9.995737572046457
SchaffersEvaluation,migration_interval,tune,366,50,9.99576685068483
SchaffersEvaluation,migration_interval,tune,367,50,9.995698487757533
SchaffersEvaluation,migration_interval,tune,368,50,9.995726129639989
SchaffersEvaluation,migration_interval,tune,369,50,9.995735745526662
SchaffersEvaluation,migration_interval,tune,370,50,9.995731598808696
SchaffersEvaluation,migration_interval,tune,371,50,9.995726006811507
SchaffersEvaluation,migration_interval,tune,372,50,9.995733590578823
SchaffersEvaluation,migration_interval,tune,373,50,9.995745238139676
SchaffersEvaluation,migration_interval,tune,374,50,9.995753191987317
SchaffersEvaluation,migration_interval,tune,375,50,9.995727212655668
SchaffersEvaluation,migration_interval,tune,376,50,9.995738287713857
SchaffersEvaluation,migration_interval,tune,377,50,9.995731528147003
SchaffersEvaluation,migration_interval,tune,378,50,9.995733372961805
SchaffersEvaluation,migration_interval,tune,379,50,9.995723785871558
SchaffersEvaluation,migration_interval,tune,380,50,9.995732949546335
SchaffersEvaluation,migration_interval,tune,381,50,9.995724609077891
SchaffersEvaluation,migration_interval,tune,382,50,9.995729143624379
SchaffersEvaluation,migration_interval,tune,383,50,9.995722344378253
SchaffersEvaluation,migration_interval,tune,384,50,9.99573061537054
SchaffersEvaluation,migration_interval,tune,385,50,9.99572018560287
SchaffersEvaluation,migration_interval,tune,386,50,9.995718648198029
SchaffersEvaluation,migration_interval,tune,387,50,9.99572226489984
SchaffersEvaluation,migration_interval,tune,388,50,9.995720970794444
SchaffersEvaluation,migration_interval,tune,389,50,9.995722542221442
SchaffersEvaluation,migration_interval,tune,390,50,9.995717314880306
SchaffersEvaluation,migration_interval,tune,391,50,9.99572555364806
SchaffersEvaluation,migration_interval,tune,392,50,9.995716097572775
SchaffersEvaluation,migration_interval,tune,393,50,9.995716280307668
SchaffersEvaluation,migration_interval,tune,394,50,9.995719781813651
SchaffersEvaluation,migration_interval,tune,395,50,9.9957241563806
SchaffersEvaluation,migration_interval,tune,396,50,9.995733754487349
SchaffersEvaluation,migration_interval,tune,397,50,9.99572968806125
SchaffersEvaluation,migration_interval,tune,398,50,9.995723141753105
SchaffersEvaluation,migration_interval,tune,399,50,9.995723383895225
SchaffersEvaluation,migration_interval,tune,400,50,9.995723383895225
